"Source","SumSq","AvPercSumSq","df","MeanSq","MaxF","minPvalue"
"Mean",9212506.78305629,91.7264681192519,1,9212506.78305629,NA,NA
"Factor 1",12032.8145237198,1.2265339853886,3,4010.93817457326,982.165236376857,0.0434782608695652
"Residuals",43053.5815112811,3.40223690712128,235,183.206729835239,NA,NA
"Total",9442182.29804139,100,239,39507.0389039389,NA,NA
