"Source","SumSq","AvPercSumSq","df","MeanSq","MaxF","minPvalue"
"Mean",351652.276683088,66.7707187485411,1,351652.276683088,NA,NA
"Factor 1",19137.7598619614,6.35396309280321,2,9568.87993098071,2431.38486458069,0.454545454545455
"Factor 2",10872.9165269702,3.30578570951204,1,10872.9165269702,4101.33993374969,0.668331668331668
"Factor 3",23882.1377720216,8.18201855063939,1,23882.1377720216,3132.25517370215,0.753246753246753
"Interaction 1,-2",13489.3642697038,4.83023490599619,2,6744.68213485192,2505.88772522998,0.688311688311688
"Residuals",32029.8470007596,13.0166523093801,3,10676.6156669199,NA,NA
"Total",456410.614539772,100,10,45641.0614539772,NA,NA
