"Source","SumSq","AvPercSumSq","df","MeanSq","MaxF","minPvalue"
"Mean",57517.5192262478,90.5530954254273,1,57517.5192262478,NA,NA
"Factor 1",2331.14779789302,3.65498548360743,1,2331.14779789302,2760.20412382744,0.000499750124937531
"Residuals",3666.85220210698,5.79191909096529,2998,1.22309946701367,NA,NA
"Total",63515.5192262478,100,3000,21.1718397420826,NA,NA
